Package                      Version
types-tabulate               0.9
types-tensorflow             2.18.0
types-TgCrypto               1.2
types-toml                   0.10
types-toposort               1.10
types-tqdm                   4.67.3
types-translationstring      1.4
types-ttkthemes              3.3
types-tzdata                 2025
types-ujson                  5.10
types-unidiff                0.7
types-untangle               1.2
types-usersettings           1.1
types-uWSGI                  2.0
types-vobject                0.9.9
types-waitress               3.0.1
types-watchpoints            0.2.5
types-webencodings           0.5
types-WebOb                  1.8
types-whatthepatch           1.0
types-workalendar            17.0
types-WTForms                3.2.1
types-wurlitzer              3.1
types-www-authenticate       0.9
types-xdgenvpy               3.0
types-xlrd                   2.0
types-xmldiff                2.7
types-xmltodict              1.0.1
types-yt-dlp                 2026.1.31
types-zstd                   1.5.7.3
types-zxcvbn                 4.5
typing_extensions            4.15.0
typing-inspection            0.4.2
uc-micro-py                  1.0.3
ufoLib2                      0.18.1
ufw                          0.36.2
unattended-upgrades          0.1
unicodedata2                 16.0.0
uritemplate                  4.2.0
urllib3                      2.6.3
urwid                        2.6.16
userpath                     1.9.2
uvicorn                      0.38.0
uvloop                       0.22.1
virtualenv                   20.36.1
wadllib                      2.0.0
wafw00f                      2.3.2
watchdog                     6.0.0
wcwidth                      0.2.14
weasyprint                   62.3
webcolors                    1.13
webencodings                 0.5.1
WebOb                        1.8.9
websocket-client             1.8.0
websockets                   15.0.1
websockify                   0.13.0
Werkzeug                     3.1.5
wfuzz                        3.1.0
wheel                        0.46.3
wifite                       2.8.1
wrapt                        1.17.3
wsproto                      1.3.2
xcffib                       1.5.0
xdg                          5
xdot                         1.6
XlsxWriter                   3.1.9
yara-python                  4.5.4
zc.lockfile                  4.0
zipp                         3.23.0
zlib-wrapper                 0.1.3
zope.interface               8.2
zopfli                       0.4.0
zstandard                    0.25.0
